Loading feature files...
SOS: 408
EOS: 599
All scenes loaded.
Hyperparameters: Namespace(LR=0.01, alternatives=1, batch_size=100, dec='LSTM', dropout=0.0, epochs=20, hidden_sz=50, log_interval=10, model='s0', no_cuda=False, seed=1)
Speaker0:  Listener0Model(
  (scene_encoder): LinearSceneEncoder(
    (fc): Linear(in_features=280, out_features=50)
  )
  (string_encoder): LinearStringEncoder(
    (fc): Linear(in_features=2713, out_features=50)
  )
  (scorer): MLPScorer(
    (linear_4): Linear(in_features=50, out_features=50)
    (linear_5): Linear(in_features=50, out_features=50)
    (linear_3): Linear(in_features=50, out_features=1)
  )
)
> /home/sxu/cs287/Final/model.py(265)forward()
-> batch_size = len(scene_enc)
(Pdb) (Pdb) Epoch [1/20], Step[0/483], loss: 7.8665
Epoch [1/20], Step[10/483], loss: 3.2211
Epoch [1/20], Step[20/483], loss: 2.3457
Epoch [1/20], Step[30/483], loss: 1.6745
Epoch [1/20], Step[40/483], loss: 1.3728
Epoch [1/20], Step[50/483], loss: 1.2589
Epoch [1/20], Step[60/483], loss: 1.1007
Epoch [1/20], Step[70/483], loss: 0.6658
Epoch [1/20], Step[80/483], loss: 0.6652
Epoch [1/20], Step[90/483], loss: 0.3126
Epoch [1/20], Step[100/483], loss: 0.3069
Epoch [1/20], Step[110/483], loss: 0.3082
Epoch [1/20], Step[120/483], loss: 0.2398
Epoch [1/20], Step[130/483], loss: 0.1178
Epoch [1/20], Step[140/483], loss: 0.1947
Epoch [1/20], Step[150/483], loss: 0.1672
Epoch [1/20], Step[160/483], loss: 0.1786
Epoch [1/20], Step[170/483], loss: 0.1150
Epoch [1/20], Step[180/483], loss: 0.1221
Epoch [1/20], Step[190/483], loss: 0.1088
Epoch [1/20], Step[200/483], loss: 0.0668
Epoch [1/20], Step[210/483], loss: 0.0645
Epoch [1/20], Step[220/483], loss: 0.0611
Epoch [1/20], Step[230/483], loss: 0.0631
Epoch [1/20], Step[240/483], loss: 0.0639
Epoch [1/20], Step[250/483], loss: 0.0680
Epoch [1/20], Step[260/483], loss: 0.0472
Epoch [1/20], Step[270/483], loss: 0.0427
Epoch [1/20], Step[280/483], loss: 0.0545
Epoch [1/20], Step[290/483], loss: 0.0469
Epoch [1/20], Step[300/483], loss: 0.0457
Epoch [1/20], Step[310/483], loss: 0.0360
Epoch [1/20], Step[320/483], loss: 0.0263
Epoch [1/20], Step[330/483], loss: 0.0372
Epoch [1/20], Step[340/483], loss: 0.0242
Epoch [1/20], Step[350/483], loss: 0.0539
Epoch [1/20], Step[360/483], loss: 0.0207
Epoch [1/20], Step[370/483], loss: 0.0256
Epoch [1/20], Step[380/483], loss: 0.0171
Epoch [1/20], Step[390/483], loss: 0.0417
Epoch [1/20], Step[400/483], loss: 0.0184
Epoch [1/20], Step[410/483], loss: 0.0079
Epoch [1/20], Step[420/483], loss: 0.0167
Epoch [1/20], Step[430/483], loss: 0.0158
Epoch [1/20], Step[440/483], loss: 0.0190
Epoch [1/20], Step[450/483], loss: 0.0140
Epoch [1/20], Step[460/483], loss: 0.0244
Epoch [1/20], Step[470/483], loss: 0.0171
Epoch [1/20], Step[480/483], loss: 0.0084
====> Epoch 1: Training loss: 190.1966
Epoch [2/20], Step[0/483], loss: 0.0235
Epoch [2/20], Step[10/483], loss: 0.0073
Epoch [2/20], Step[20/483], loss: 0.0116
Epoch [2/20], Step[30/483], loss: 0.0166
Epoch [2/20], Step[40/483], loss: 0.0122
Epoch [2/20], Step[50/483], loss: 0.0215
Epoch [2/20], Step[60/483], loss: 0.0142
Epoch [2/20], Step[70/483], loss: 0.0054
Epoch [2/20], Step[80/483], loss: 0.0195
Epoch [2/20], Step[90/483], loss: 0.0086
Epoch [2/20], Step[100/483], loss: 0.0083
Epoch [2/20], Step[110/483], loss: 0.0074
Epoch [2/20], Step[120/483], loss: 0.0051
Epoch [2/20], Step[130/483], loss: 0.0021
Epoch [2/20], Step[140/483], loss: 0.0063
Epoch [2/20], Step[150/483], loss: 0.0089
Epoch [2/20], Step[160/483], loss: 0.0083
Epoch [2/20], Step[170/483], loss: 0.0047
Epoch [2/20], Step[180/483], loss: 0.0103
Epoch [2/20], Step[190/483], loss: 0.0044
Epoch [2/20], Step[200/483], loss: 0.0037
Epoch [2/20], Step[210/483], loss: 0.0046
Epoch [2/20], Step[220/483], loss: 0.0035
Epoch [2/20], Step[230/483], loss: 0.0032
Epoch [2/20], Step[240/483], loss: 0.0026
Epoch [2/20], Step[250/483], loss: 0.0046
Epoch [2/20], Step[260/483], loss: 0.0040
Epoch [2/20], Step[270/483], loss: 0.0030
Epoch [2/20], Step[280/483], loss: 0.0060
Epoch [2/20], Step[290/483], loss: 0.0023
Epoch [2/20], Step[300/483], loss: 0.0037
Epoch [2/20], Step[310/483], loss: 0.0031
Epoch [2/20], Step[320/483], loss: 0.0021
Epoch [2/20], Step[330/483], loss: 0.0025
Epoch [2/20], Step[340/483], loss: 0.0018
Epoch [2/20], Step[350/483], loss: 0.0055
Epoch [2/20], Step[360/483], loss: 0.0022
Epoch [2/20], Step[370/483], loss: 0.0015
Epoch [2/20], Step[380/483], loss: 0.0013
Epoch [2/20], Step[390/483], loss: 0.0020
Epoch [2/20], Step[400/483], loss: 0.0016
Epoch [2/20], Step[410/483], loss: 0.0010
Epoch [2/20], Step[420/483], loss: 0.0014
Epoch [2/20], Step[430/483], loss: 0.0019
Epoch [2/20], Step[440/483], loss: 0.0014
Epoch [2/20], Step[450/483], loss: 0.0011
Epoch [2/20], Step[460/483], loss: 0.0018
Epoch [2/20], Step[470/483], loss: 0.0015
Epoch [2/20], Step[480/483], loss: 0.0007
====> Epoch 2: Training loss: 2.8227
Epoch [3/20], Step[0/483], loss: 0.0012
Epoch [3/20], Step[10/483], loss: 0.0011
Epoch [3/20], Step[20/483], loss: 0.0016
Epoch [3/20], Step[30/483], loss: 0.0017
Epoch [3/20], Step[40/483], loss: 0.0018
Epoch [3/20], Step[50/483], loss: 0.0018
Epoch [3/20], Step[60/483], loss: 0.0016
Epoch [3/20], Step[70/483], loss: 0.0009
Epoch [3/20], Step[80/483], loss: 0.0019
Epoch [3/20], Step[90/483], loss: 0.0010
Epoch [3/20], Step[100/483], loss: 0.0011
Epoch [3/20], Step[110/483], loss: 0.0011
Epoch [3/20], Step[120/483], loss: 0.0010
Epoch [3/20], Step[130/483], loss: 0.0006
Epoch [3/20], Step[140/483], loss: 0.0011
Epoch [3/20], Step[150/483], loss: 0.0012
Epoch [3/20], Step[160/483], loss: 0.0015
Epoch [3/20], Step[170/483], loss: 0.0010
Epoch [3/20], Step[180/483], loss: 0.0014
Epoch [3/20], Step[190/483], loss: 0.0010
Epoch [3/20], Step[200/483], loss: 0.0009
Epoch [3/20], Step[210/483], loss: 0.0009
Epoch [3/20], Step[220/483], loss: 0.0009
Epoch [3/20], Step[230/483], loss: 0.0006
Epoch [3/20], Step[240/483], loss: 0.0008
Epoch [3/20], Step[250/483], loss: 0.0008
Epoch [3/20], Step[260/483], loss: 0.0005
Epoch [3/20], Step[270/483], loss: 0.0007
Epoch [3/20], Step[280/483], loss: 0.0010
Epoch [3/20], Step[290/483], loss: 0.0006
Epoch [3/20], Step[300/483], loss: 0.0008
Epoch [3/20], Step[310/483], loss: 0.0007
Epoch [3/20], Step[320/483], loss: 0.0007
Epoch [3/20], Step[330/483], loss: 0.0008
Epoch [3/20], Step[340/483], loss: 0.0007
Epoch [3/20], Step[350/483], loss: 0.0009
Epoch [3/20], Step[360/483], loss: 0.0006
Epoch [3/20], Step[370/483], loss: 0.0005
Epoch [3/20], Step[380/483], loss: 0.0005
Epoch [3/20], Step[390/483], loss: 0.0006
Epoch [3/20], Step[400/483], loss: 0.0004
Epoch [3/20], Step[410/483], loss: 0.0004
Epoch [3/20], Step[420/483], loss: 0.0006
Epoch [3/20], Step[430/483], loss: 0.0006
Epoch [3/20], Step[440/483], loss: 0.0006
Epoch [3/20], Step[450/483], loss: 0.0005
